전철역명,호선,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
공항시장,9,458100,1128200,37.563726,126.810678
신방화,9,459400,1129200,37.567532,126.816601
마곡나루,9,461700,1129100,37.567336,126.829497
양천향교,9,464880,1129370,37.568381,126.841333
가양,9,467700,1127500,37.561391,126.854456
증미,9,469000,1126600,37.557402,126.861939
등촌,9,470000,1124700,37.550632,126.865689
염창,9,472150,1123550,37.546936,126.874916
신목동,9,474030,1122700,37.544277,126.88308
선유도,9,476232,1121000,37.53802,126.893525
국회의사당,9,481632,1118278,37.528105,126.917874
샛강,9,483932,1115178,37.517274,126.928422
노들,9,489532,1114078,37.512887,126.953222
흑석,9,491832,1112978,37.50877,126.963708
구반포,9,497032,1110978,37.501364,126.987332
신반포,9,499032,1111478,37.503415,126.995925
사평,9,503232,1111740,37.504206,127.015259
신논현,9,505392,1111790,37.504598,127.02506
언주,9,507392,1112490,37.507287,127.033868
삼성중앙,9,511392,1113890,37.513011,127.053282
봉은사,9,513192,1114390,37.514219,127.060245
서울,A,493365,1125595,37.554648,126.972559
홍대입구,A,483315,1126247,37.557192,126.925381
공덕,A,489187,1122797,37.544018,126.951592
공덕,A,489187,1122797,37.544018,126.951592
디지털미디어시티,A,477750,1131825,37.576646,126.900984
김포공항,A,455957,1127820,37.562434,126.801058
공덕,A,489187,1122797,37.544018,126.951592
검암,A,427682,1129830,37.569104,126.673728
김포공항,A,455957,1127820,37.562434,126.801058
계양,A,441522,1130440,37.571462,126.735637
홍대입구,A,483315,1126247,37.557192,126.925381
디지털미디어시티,A,477750,1131825,37.576646,126.900984
